,año,mes,festividad,nom_comuna,conducta,cantidad
283,2023,4,Dia del Niño,Cabecera del Llano,HURTO A PERSONAS,3.0
284,2023,4,Dia del Niño,Oriental,VIOLENCIA INTRAFAMILIAR,2.0
285,2023,4,Dia del Niño,Morrorico,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.6666666666666667
286,2023,4,Dia del Niño,Centro,HURTO A PERSONAS,4.0
287,2023,4,Dia del Niño,Lagos del Cacique,HURTO A PERSONAS,1.0
288,2023,4,Dia del Niño,Mutis,HURTO A PERSONAS,1.0
289,2023,5,Dia del Trabajo,Norte,LESIONES PERSONALES,2.0
290,2023,5,Dia del Trabajo,Nor Oriental,LESIONES PERSONALES,1.0
291,2023,5,Dia del Trabajo,San Francisco,LESIONES PERSONALES,2.0
292,2023,5,Dia del Trabajo,Occidental,LESIONES PERSONALES,2.0
293,2023,5,Dia del Trabajo,García Rovira,HURTO A ENTIDADES COMERCIALES,2.0
294,2023,5,Dia del Trabajo,La Concordia,HURTO A PERSONAS,1.0
295,2023,5,Dia del Trabajo,La Ciudadela,HURTO A PERSONAS,1.0
296,2023,5,Dia del Trabajo,Sur Occidente,HURTO A PERSONAS,1.0
297,2023,5,Dia del Trabajo,La Pedregosa,HURTO A PERSONAS,2.0
298,2023,5,Dia del Trabajo,Provenza,VIOLENCIA INTRAFAMILIAR,2.0
299,2023,5,Dia del Trabajo,Sur,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.3333333333333333
300,2023,5,Dia del Trabajo,Cabecera del Llano,HURTO A PERSONAS,4.0
301,2023,5,Dia del Trabajo,Oriental,LESIONES PERSONALES,2.0
302,2023,5,Dia del Trabajo,Morrorico,HURTO A PERSONAS,1.0
303,2023,5,Dia del Trabajo,Centro,HURTO A PERSONAS,1.0
304,2023,5,Dia del Trabajo,Lagos del Cacique,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.0
305,2023,5,Dia del Trabajo,Mutis,HURTO A PERSONAS,2.0
306,2023,5,Domingo,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4.0
307,2023,5,Domingo,Nor Oriental,LESIONES PERSONALES,4.666666666666667
308,2023,5,Domingo,San Francisco,VIOLENCIA INTRAFAMILIAR,2.3333333333333335
309,2023,5,Domingo,Occidental,VIOLENCIA INTRAFAMILIAR,3.0
310,2023,5,Domingo,García Rovira,LESIONES PERSONALES,5.5
311,2023,5,Domingo,La Concordia,VIOLENCIA INTRAFAMILIAR,1.3333333333333333
312,2023,5,Domingo,La Ciudadela,LESIONES PERSONALES,3.0
313,2023,5,Domingo,Sur Occidente,HURTO A RESIDENCIAS,2.0
314,2023,5,Domingo,La Pedregosa,LESIONES PERSONALES,2.5
315,2023,5,Domingo,Provenza,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.3333333333333335
